,#,Reached number one,Artist(s),Single,Weeks atnumber one
87,1060,"January 21, 2017",Migos featuring Lil Uzi Vert,"""Bad and Boujee""",3
88,1061,"January 28, 2017",Ed Sheeran,"""Shape of You""♪ [93]",12
89,1062,"May 6, 2017",Kendrick Lamar,"""Humble""",1
90,1063,"May 13, 2017",Bruno Mars,"""That's What I Like""",1
91,1064,"May 20, 2017","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","""I'm the One""",1
92,1065,"May 27, 2017",Luis Fonsi and Daddy Yankee featuring Justin Bieber,"""Despacito""",16
93,1066,"September 16, 2017",Taylor Swift,"""Look What You Made Me Do""",3
94,1067,"October 7, 2017",Cardi B,"""Bodak Yellow""",3
95,1068,"October 28, 2017",Post Malone featuring 21 Savage,"""Rockstar""",8
96,1069,"December 23, 2017",Ed Sheeran solo or duet with Beyoncé1,"""Perfect""",6
97,2018,2018,2018,2018,2018
98,1070,"January 27, 2018",Camila Cabello featuring Young Thug,"""Havana""",1
99,1071,"February 3, 2018",Drake,"""God's Plan""♪ [104]",11
100,1072,"April 21, 2018",Drake,"""Nice for What""",8
101,1073,"May 19, 2018",Childish Gambino,"""This Is America""",2
102,1074,"June 16, 2018",Post Malone featuring Ty Dolla Sign,"""Psycho""",1
103,1075,"June 30, 2018",XXXTentacion,"""Sad!""",1
104,1076,"July 7, 2018","Cardi B, Bad Bunny and J Balvin","""I Like It""",1
105,1077,"July 21, 2018",Drake,"""In My Feelings""",10
106,1078,"September 29, 2018",Maroon 5 featuring Cardi B,"""Girls Like You""",7
107,1079,"November 17, 2018",Ariana Grande,"""Thank U, Next""",7
108,1080,"December 8, 2018",Travis Scott,"""Sicko Mode""",1
109,2019,2019,2019,2019,2019
110,1081,"January 12, 2019",Halsey,"""Without Me""",2
111,1082,"January 19, 2019",Post Malone and Swae Lee,"""Sunflower""",1
112,1083,"February 2, 2019",Ariana Grande,"""7 Rings""",8
113,1084,"March 9, 2019",Lady Gaga and Bradley Cooper,"""Shallow""",1
114,1085,"March 16, 2019",Jonas Brothers,"""Sucker""",1
